,Country Name,Country Code,year,population
262,Algeria,DZA,1979,18647815
263,American Samoa,ASM,1979,31845
264,Andorra,AND,1979,34818
265,Angola,AGO,1979,8058067
266,Antigua and Barbuda,ATG,1979,61952
267,Argentina,ARG,1979,27471036
268,Armenia,ARM,1979,3049109
269,Aruba,ABW,1979,59980
270,Australia,AUS,1979,14514000
271,Austria,AUT,1979,7549425
272,Azerbaijan,AZE,1979,6053640
273,Afghanistan,AFG,1980,13356511
274,Albania,ALB,1980,2671997
275,Algeria,DZA,1980,19221665
276,American Samoa,ASM,1980,32646
277,Andorra,AND,1980,36067
278,Angola,AGO,1980,8341289
279,Antigua and Barbuda,ATG,1980,61865
280,Argentina,ARG,1980,27896528
281,Armenia,ARM,1980,3099754
282,Aruba,ABW,1980,60096
283,Australia,AUS,1980,14692000
284,Austria,AUT,1980,7549433
285,Azerbaijan,AZE,1980,6150733
286,Afghanistan,AFG,1981,13171673
287,Albania,ALB,1981,2726056
288,Algeria,DZA,1981,19824301
289,American Samoa,ASM,1981,33701
290,Andorra,AND,1981,37500
291,Angola,AGO,1981,8640446
292,Antigua and Barbuda,ATG,1981,61800
293,Argentina,ARG,1981,28338515
294,Armenia,ARM,1981,3148096
295,Aruba,ABW,1981,60567
296,Australia,AUS,1981,14927000
297,Austria,AUT,1981,7568710
298,Azerbaijan,AZE,1981,6249314
299,Afghanistan,AFG,1982,12882528
300,Albania,ALB,1982,2784278
301,Algeria,DZA,1982,20452902
302,American Samoa,ASM,1982,34968
303,Andorra,AND,1982,39114
304,Angola,AGO,1982,8952950
305,Antigua and Barbuda,ATG,1982,61779
306,Argentina,ARG,1982,28794548
307,Armenia,ARM,1982,3193689
308,Aruba,ABW,1982,61345
309,Australia,AUS,1982,15178000
310,Austria,AUT,1982,7574140
311,Azerbaijan,AZE,1982,6349553
312,Afghanistan,AFG,1983,12537730
313,Albania,ALB,1983,2843960
314,Algeria,DZA,1983,21101875
315,American Samoa,ASM,1983,36412
316,Andorra,AND,1983,40867
317,Angola,AGO,1983,9278096
318,Antigua and Barbuda,ATG,1983,61787
319,Argentina,ARG,1983,29262047
320,Armenia,ARM,1983,3238595
321,Aruba,ABW,1983,62201
322,Australia,AUS,1983,15369000
323,Austria,AUT,1983,7561910
324,Azerbaijan,AZE,1983,6452069
325,Afghanistan,AFG,1984,12204292
326,Albania,ALB,1984,2904429
327,Algeria,DZA,1984,21763575
328,American Samoa,ASM,1984,37946
329,Andorra,AND,1984,42706
330,Angola,AGO,1984,9614754
331,Antigua and Barbuda,ATG,1984,61786
332,Argentina,ARG,1984,29737093
333,Armenia,ARM,1984,3285599
334,Aruba,ABW,1984,62836
335,Australia,AUS,1984,15544000
336,Austria,AUT,1984,7561434
337,Azerbaijan,AZE,1984,6557581
338,Afghanistan,AFG,1985,11938208
339,Albania,ALB,1985,2964762
340,Algeria,DZA,1985,22431502
341,American Samoa,ASM,1985,39519
342,Andorra,AND,1985,44600
343,Angola,AGO,1985,9961997
344,Antigua and Barbuda,ATG,1985,61786
345,Argentina,ARG,1985,30216279
346,Armenia,ARM,1985,3335940
347,Aruba,ABW,1985,63026
348,Australia,AUS,1985,15758000
349,Austria,AUT,1985,7564985
350,Azerbaijan,AZE,1985,6666447
351,Afghanistan,AFG,1986,11736179
352,Albania,ALB,1986,3022635
353,Algeria,DZA,1986,23102389
354,American Samoa,ASM,1986,41119
355,Andorra,AND,1986,46517
356,Angola,AGO,1986,10320111
357,Antigua and Barbuda,ATG,1986,61754
358,Argentina,ARG,1986,30698964
359,Armenia,ARM,1986,3392264
360,Aruba,ABW,1986,62644
361,Australia,AUS,1986,16018400
362,Austria,AUT,1986,7569794
363,Azerbaijan,AZE,1986,6778624
364,Afghanistan,AFG,1987,11604534
365,Albania,ALB,1987,3083605
366,Algeria,DZA,1987,23774284
367,American Samoa,ASM,1987,42740
368,Andorra,AND,1987,48455
369,Angola,AGO,1987,10689250
370,Antigua and Barbuda,ATG,1987,61717
371,Argentina,ARG,1987,31184415
372,Armenia,ARM,1987,3451947
373,Aruba,ABW,1987,61833
374,Australia,AUS,1987,16263900
375,Austria,AUT,1987,7574586
376,Azerbaijan,AZE,1987,6893489
377,Afghanistan,AFG,1988,11618005
378,Albania,ALB,1988,3142336
379,Algeria,DZA,1988,24443467
380,American Samoa,ASM,1988,44343
381,Andorra,AND,1988,50434
382,Angola,AGO,1988,11068050
383,Antigua and Barbuda,ATG,1988,61771
